Suriname,623236.0
Slovak Republic,5426740.0
Slovenia,2120937.0
Sweden,10536632.0
Eswatini,1210822.0
Sint Maarten (Dutch part),41163.0
Seychelles,119773.0
Syrian Arab Republic,23227014.0
Turks and Caicos Islands,46062.0
Chad,18278568.0
East Asia & Pacific (IDA & IBRD countries),2107522258.0
Europe & Central Asia (IDA & IBRD countries),457326090.0
Togo,9053799.0
Thailand,71801279.0
Tajikistan,10143543.0
Turkmenistan,6516100.0
Latin America & the Caribbean (IDA & IBRD countries),648763330.0
Timor-Leste,1360596.0
Middle East & North Africa (IDA & IBRD countries),425691336.0
Tonga,107773.0
South Asia (IDA & IBRD),1938549529.0
Sub-Saharan Africa (IDA & IBRD countries),1241897817.0
Trinidad and Tobago,1534937.0
Tunisia,12458223.0
Turkey,85326000.0
Tuvalu,11396.0
Tanzania,67438106.0
Uganda,48582334.0
Ukraine,37000000.0
Upper middle income,2810588102.0
Uruguay,3423108.0
United States,334914895.0
Uzbekistan,36412350.0
St. Vincent and the Grenadines,103698.0
"Venezuela, RB",28838499.0
British Virgin Islands,31538.0
Virgin Islands (U.S.),104917.0
Viet Nam,98858950.0
Vanuatu,334506.0
World,8024997028.0
Samoa,225681.0
Kosovo,1756374.0
"Yemen, Rep.",34449825.0
South Africa,60414495.0
Zambia,20569737.0
Zimbabwe,16665409.0
Western Sahara,590506.0
